iteration,residual,alpha
0,0.05,1.0
1,63177.1731188943,1.0
2,23241.582869431717,1.0
3,8550.100131763795,1.0
4,3145.4055584068315,1.0
5,1157.1294252143384,1.0
6,425.6833985980666,1.0
7,156.59932923902937,1.0
8,57.6087183432852,1.0
9,21.191993922343322,1.0
10,7.794915982079227,1.0
11,2.866293020967651,1.0
12,1.0530414798652168,1.0
13,0.3858739515222871,1.0
14,0.1403361372098353,1.0
15,0.04993421938630396,1.0
16,0.016681221819328306,1.0
17,0.004650136147819629,1.0
18,0.0007789140929794084,1.0
19,3.4457856092268146e-05,1.0
20,7.573384192254701e-08,1.0
21,3.679400534414661e-13,0.0
