t,h,error_ratio,accepted,newton_updates_completed_solves,failure
0.0,0.003,1824.4398413586885,False,3,
0.0,0.0006000000000000001,1176.6511083848884,False,3,
0.0,0.00012000000000000002,2392.7934781055387,False,3,
0.0,2.4000000000000004e-05,413.34989664026824,False,3,
0.0,4.8000000000000015e-06,19.035564068080525,False,3,
0.0,9.901497258616141e-07,0.8163230779885039,True,3,
9.901497258616141e-07,9.863075186472364e-07,0.8093057241251673,True,3,
1.9764572445088508e-06,9.867304878032614e-07,0.8090418742637764,True,3,
2.963187732312112e-06,9.873145936230804e-07,0.8087792954371421,True,3,
3.9505023259351925e-06,9.880593981788171e-07,0.8085170926305385,True,3,
4.93856172411401e-06,9.889650867275771e-07,0.8082553481342816,True,3,
5.9275268108415874e-06,9.900318719365475e-07,0.8079941436925668,True,3,
6.917558682778135e-06,9.912599939073362e-07,0.8077335602574853,True,3,
7.90881867668547e-06,9.926497202932722e-07,0.8074736778877104,True,3,
8.901468396978744e-06,9.942013464228138e-07,0.8072145756497152,True,3,
9.895669743401557e-06,9.959151954290447e-07,0.8069563315212965,True,3,
1.0891584938830602e-05,9.977916183855356e-07,0.8066990222985273,True,3,
1.1889376557216138e-05,9.998309944483076e-07,0.8064427235051448,True,3,
1.2889207551664445e-05,1.0020337310043827e-06,0.8061875093056126,True,3,
1.3891241282668827e-05,1.004400263826782e-06,0.8059334524222601,True,3,
1.4895641546495609e-05,1.0069310572356991e-06,0.8056806240542886,True,3,
1.5902572603731308e-05,1.0096266042670695e-06,0.8054290938034294,True,3,
1.6912199207998377e-05,1.0124874268468828e-06,0.8051789296006907,True,3,
1.792468663484526e-05,1.015514075973145e-06,0.8049301976386322,True,3,
1.8940200710818406e-05,1.0187071319047252e-06,0.8046829623092141,True,3,
1.995890784272313e-05,1.0220672043563433e-06,0.8044372861427251,True,3,
2.0980975047079473e-05,1.02559493270186e-06,0.8041932297534006,True,3,
2.2006569979781332e-05,1.0292909861845583e-06,0.8039508517902401,True,3,
2.3035860965965892e-05,1.0331560641340624e-06,0.8037102088891548,True,3,
2.4069017030099955e-05,1.0371908961920558e-06,0.8034713556330721,True,3,
2.510620792629201e-05,1.0413962425447542e-06,0.803234344514879,True,3,
2.6147604168836764e-05,1.0457728941633598e-06,0.8029992259041667,True,3,
2.7193377063000125e-05,1.0503216730531347e-06,0.8027660480200197,True,3,
2.824369873605326e-05,1.055043432510267e-06,0.802534856909096,True,3,
2.9298742168563527e-05,1.0599390573861434e-06,0.8023056964245336,True,3,
3.035868122594967e-05,1.0650094643615626e-06,0.8020786082107186,True,3,
3.142369069031123e-05,1.0702556022301126e-06,0.8018536316975735,True,3,
3.2493946292541344e-05,1.0756784521874093e-06,0.8016308040896022,True,3,
3.356962474472875e-05,1.0812790281326378e-06,0.8014101603660443,True,3,
3.465090377286139e-05,1.0870583769779651e-06,0.8011917332816284,True,3,
3.5737962149839354e-05,1.093017578968279e-06,0.8009755533761146,True,3,
3.6830979728807635e-05,1.099157748008127e-06,0.8007616489773605,True,3,
3.7930137476815763e-05,1.1054800320030138e-06,0.8005500462202181,True,3,
3.903561750881878e-05,1.1119856132069775e-06,0.8003407690607941,True,3,
4.014760312202576e-05,1.1186757085821632e-06,0.8001338392954056,True,3,
4.126627883060792e-05,1.1255515701697267e-06,0.7999292765846495,True,3,
4.239183040077765e-05,1.1326144854709563e-06,0.799727098480533,True,3,
4.352444488624861e-05,1.139865777838782e-06,0.7995273204507887,True,3,
4.466431066408739e-05,1.147306806883949e-06,0.7993299559157875,True,3,
4.581161747097134e-05,1.154938968889097e-06,0.7991350162795738,True,3,
4.696655643986043e-05,1.1627636972369317e-06,0.7989425109613402,True,3,
4.8129320137097366e-05,1.1707824628542514e-06,0.7987524474446418,True,3,
4.930010259995162e-05,1.1789967746608056e-06,0.7985648313068717,True,3,
5.047909937461242e-05,1.1874081800390394e-06,0.7983796662635897,True,3,
5.166650755465146e-05,1.1960182653156823e-06,0.798196954218691,True,3,
5.286252581996715e-05,1.2048286562522683e-06,0.7980166953005559,True,3,
5.406735447621942e-05,1.2138410185564594e-06,0.7978388879102581,True,3,
5.528119549477587e-05,1.223057058406656e-06,0.7976635287724344,True,3,
5.650425255318253e-05,1.232478522989033e-06,0.7974906129805865,True,3,
5.773673107617156e-05,1.2421072010523628e-06,0.7973201340491405,True,3,
5.8978838277223925e-05,1.2519449234765154e-06,0.7971520839538961,True,3,
6.023078320070044e-05,1.2619935638646732e-06,0.7969864531950059,True,3,
6.149277676456512e-05,1.272255039142586e-06,0.7968232308387085,True,3,
6.27650318037077e-05,1.2827313101821744e-06,0.7966624045696301,True,3,
6.404776311388987e-05,1.293424382442027e-06,0.7965039607430453,True,3,
6.53411874963319e-05,1.3043363066253792e-06,0.7963478844365963,True,3,
6.664552380295729e-05,1.3154691793565035e-06,0.7961941594974692,True,3,
6.79609929823138e-05,1.3268251438797312e-06,0.7960427685934355,True,3,
6.928781812619353e-05,1.338406390778427e-06,0.7958936932702496,True,3,
7.062622451697196e-05,1.3502151587088464e-06,0.7957469139839035,True,3,
7.197643967568081e-05,1.3622537351702793e-06,0.7956024101716488,True,3,
7.333869341085109e-05,1.3745244572791433e-06,0.7954601602837953,True,3,
7.471321786813024e-05,1.3870297125802006e-06,0.7953201418385709,True,3,
7.610024758071044e-05,1.399771939875638e-06,0.7951823314672828,True,3,
7.750001952058608e-05,1.4127536300803074e-06,0.7950467049616625,True,3,
7.891277315066638e-05,1.4259773271013098e-06,0.7949132373168224,True,3,
8.033875047776769e-05,1.4394456287458295e-06,0.7947819027746704,True,3,
8.177819610651352e-05,1.4531611876569162e-06,0.7946526748742472,True,3,
8.323135729417044e-05,1.467126712270834e-06,0.7945255264851233,True,3,
8.469848400644127e-05,1.4813449678112692e-06,0.7944004298474157,True,3,
8.617982897425254e-05,1.4958187773146407e-06,0.7942773566271305,True,3,
8.767564775156718e-05,1.510551022671941e-06,0.7941562779328487,True,3,
8.918619877423912e-05,1.5255446457231467e-06,0.7940371643675015,True,3,
9.071174341996226e-05,1.5408026493715386e-06,0.7939199860618565,True,3,
9.22525460693338e-05,1.5563280987348484e-06,0.7938047127072535,True,3,
9.380887416806865e-05,1.5721241223341151e-06,0.7936913135900173,True,3,
9.538099829040277e-05,1.5881939133187082e-06,0.793579757624039,True,3,
9.696919220372148e-05,1.6045407307293333e-06,0.7934700133816753,True,3,
9.857373293445082e-05,1.6211679008007624e-06,0.7933620491229353,True,3,
0.00010019490083525158,1.6380788183061606e-06,0.7932558328291334,True,3,
0.00010183297965355774,1.655276947938515e-06,0.7931513322167175,True,3,
0.00010348825660149625,1.6727658257498513e-06,0.7930485147772126,True,3,
0.0001051610224272461,1.6905490606216742e-06,0.7929473477975165,True,3,
0.00010685157148786777,1.7086303357869866e-06,0.7928477983744175,True,3,
0.00010856020182365476,1.7270134104108803e-06,0.7927498334516356,True,3,
0.00011028721523406563,1.745702121206039e-06,0.7926534198287334,True,3,
0.00011203291735527168,1.7647003841137463e-06,0.7925585241849652,True,3,
0.00011379761773938542,1.7840121960351586e-06,0.7924651130916094,True,3,
0.00011558162993542058,1.803641636626265e-06,0.7923731530399626,True,3,
0.00011738527157204683,1.823592870139812e-06,0.7922826104517927,True,3,
0.00011920886444218664,1.8438701473345154e-06,0.7921934516836083,True,3,
0.00012105273458952116,1.864477807460286e-06,0.7921056430559511,True,3,
0.00012291721239698146,1.885420280291753e-06,0.7920191508551,True,3,
0.0001248026326772732,1.9067020882430462e-06,0.7919339413472861,True,3,
0.00012670933476551625,1.928327848550953e-06,0.7918499807887234,True,3,
0.0001286376626140672,1.9503022755327885e-06,0.7917672354290246,True,3,
0.00013058796488959998,1.972630182928851e-06,0.7916856715297754,True,3,
0.00013256059507252884,1.99531648631269e-06,0.7916052553544909,True,3,
0.00013455591155884153,2.018366205606519e-06,0.7915259531892479,True,3,
0.00013657427776444804,2.041784467666027e-06,0.7914477313401679,True,3,
0.00013861606223211406,2.065576508965541e-06,0.791370556131664,True,3,
0.00014068163874107962,2.089747678385729e-06,0.7912943939196557,True,3,
0.00014277138641946533,2.1143034400870983e-06,0.7912192110784213,True,3,
0.00014488568985955244,2.1392493765066275e-06,0.7911449740214449,True,3,
0.00014702493923605907,2.1645911914357475e-06,0.791071649161318,True,3,
0.00014918953042749483,2.1903347132650604e-06,0.7909992029684864,True,3,
0.00015137986514075988,2.2164858982654146e-06,0.7909276019020862,True,3,
0.0001535963510390253,2.243050834083536e-06,0.7908568124544414,True,3,
0.00015583940187310883,2.2700357433009936e-06,0.7907868011190007,True,3,
0.00015810943761640983,2.2974469871663963e-06,0.7907175344004375,True,3,
0.00016040688460357622,2.325291069446821e-06,0.7906489787942342,True,3,
0.00016273217567302304,2.3535746404469595e-06,0.790581100789054,True,3,
0.00016508575031347,2.3823045011687296e-06,0.7905138668516966,True,3,
0.00016746805481463874,2.411487607642339e-06,0.7904472434214108,True,3,
0.0001698795424222811,2.4411310754212616e-06,0.7903811968941127,True,3,
0.00017232067349770235,2.471242184262849e-06,0.79031569361121,True,3,
0.00017479191568196522,2.501828382994872e-06,0.7902506998569895,True,3,
0.0001772937440649601,2.5328972945615435e-06,0.7901861818245339,True,3,
0.00017982664135952163,2.5644567213064843e-06,0.7901221056210332,True,3,
0.0001823910980808281,2.596514650439056e-06,0.79005843723839,True,3,
0.00018498761273126716,2.62907925974779e-06,0.789995142543374,True,3,
0.00018761669199101493,2.662158923539286e-06,0.7899321872566893,True,3,
0.00019027885091455423,2.6957622188304477e-06,0.7898695369314175,True,3,
0.00019297461313338467,2.729897931806148e-06,0.7898071569362319,True,3,
0.0001957045110651908,2.7645750645456115e-06,0.7897450124352878,True,3,
0.00019846908612973643,2.799802842034829e-06,0.7896830683585926,True,3,
0.00020126888897177125,2.835590719494596e-06,0.789621289390215,True,3,
0.00020410447969126583,2.8719483900063396e-06,0.789559639919206,True,3,
0.00020697642808127216,2.9088857925168255e-06,0.7894980840479614,True,3,
0.00020988531387378898,2.9464131201337457e-06,0.7894365855305118,True,3,
0.0002128317269939227,2.984540828855065e-06,0.7893751077644724,True,3,
0.00021581626782277778,3.0232796466523013e-06,0.7893136137536925,True,3,
0.00021883954746943008,3.0626405829793113e-06,0.7892520660681156,True,3,
0.0002219021880524094,3.1026349387326874e-06,0.7891904268251797,True,3,
0.0002250048229911421,3.143274316643034e-06,0.7891286576374754,True,3,
0.00022814809730778513,3.1845706321845314e-06,0.7890667195878786,True,3,
0.00023133266793996966,3.2265361249731885e-06,0.7890045731800556,True,3,
0.00023455920406494286,3.2691833707275424e-06,0.7889421783093943,True,3,
0.0002378283874356704,3.3125252937775417e-06,0.788879494195138,True,3,
0.00024114091272944794,3.35657518023026e-06,0.7888164793644022,True,3,
0.0002444974879096782,3.401346691715753e-06,0.7887530915810255,True,3,
0.00024789883460139394,3.4468538798601286e-06,0.7886892878083601,True,3,
0.0002513456884812541,3.493111201449918e-06,0.7886250241400172,True,3,
0.000254838799682704,3.540133534393908e-06,0.7885602557564081,True,3,
0.0002583789332170979,3.5879361944666523e-06,0.7884949368632523,True,3,
0.0002619668694115646,3.6365349529148544e-06,0.7884290206256099,True,3,
0.00026560340436447945,3.685946054982828e-06,0.7883624590957666,True,3,
0.0002692893504194623,3.7361862394208175e-06,0.788295203152944,True,3,
0.0002730255366588831,3.7872727590011284e-06,0.7882272024219878,True,3,
0.00027681280941788426,3.839223402146859e-06,0.7881584051988585,True,3,
0.00028065203282003114,3.892056515717958e-06,0.7880887583731728,True,3,
0.0002845440893357491,3.9457910290253804e-06,0.7880182073205628,True,3,
0.00028848988036477447,4.000446479217659e-06,0.7879466958222329,True,3,
0.00029249032684399215,4.0560430380489994e-06,0.7878741659806695,True,3,
0.00029654636988204114,4.11260154011577e-06,0.787800558088055,True,3,
0.0003006589714221569,4.170143512768899e-06,0.7877258105316627,True,3,
0.0003048291149349258,4.228691207702423e-06,0.7876498596689855,True,3,
0.0003090578061426282,4.288267634396265e-06,0.7875726397056908,True,3,
0.00031334607377702447,4.3488965955150185e-06,0.7874940825666142,True,3,
0.00031769497037253947,4.410602724397761e-06,0.7874141177299894,True,3,
0.00032210557309693725,4.473411524867849e-06,0.7873326721217343,True,3,
0.0003265789846218051,4.537349413332419e-06,0.7872496698961919,True,3,
0.0003311163340351375,4.6024437636377944e-06,0.7871650323112493,True,3,
0.0003357187777987753,4.668722954577237e-06,0.7870786775205603,True,3,
0.0003403875007533525,4.73621642045975e-06,0.7869905203747002,True,3,
0.0003451237171738123,4.8049547049075735e-06,0.7869004722192479,True,3,
0.00034992867187871987,4.874969518096849e-06,0.7868084406727404,True,3,
0.00035480364139681673,4.946293797724183e-06,0.7867143293557578,True,3,
0.0003597499351945409,5.018961774095626e-06,0.7866180376692802,True,3,
0.00036476889696863653,5.09300903945169e-06,0.7865194604830913,True,3,
0.00036986190600808824,5.168472622099133e-06,0.7864184878476073,True,3,
0.00037503037863018736,5.245391065596499e-06,0.7863150046696026,True,3,
0.00038027576969578385,5.32380451345536e-06,0.7862088903592915,True,3,
0.0003855995742092392,5.4037547998323495e-06,0.7861000184508962,True,3,
0.00039100332900907157,5.485285546718664e-06,0.7859882561964555,True,3,
0.0003964886145557902,5.5684422681759e-06,0.7858734641283948,True,3,
0.00040205705682396615,5.653272482228274e-06,0.7857554955716008,True,3,
0.00040771032930619444,5.739825831142521e-06,0.7856341961372202,True,3,
0.00041345015513733694,5.8281542107713625e-06,0.7855094031538737,True,3,
0.0004192783093481083,5.9183119098583845e-06,0.7853809450516706,True,3,
0.0004251966212579667,6.010355760224094e-06,0.7852486407116582,True,3,
0.0004312069770181908,6.104345298784744e-06,0.7851122987344968,True,3,
0.00043731132231697553,6.200342942620132e-06,0.7849717166466951,True,3,
0.0004435116652595957,6.29841417834625e-06,0.7848266800319027,True,3,
0.00044981007943794193,6.398627767214244e-06,0.7846769616223861,True,3,
0.0004562087072051562,6.501055967344071e-06,0.7845223202139797,True,3,
0.00046270976317250024,6.605774775203268e-06,0.7843624995780802,True,3,
0.0004693155379477035,6.712864187913126e-06,0.7841972271901952,True,3,
0.00047602840213561667,6.822408488888265e-06,0.7840262128630463,True,3,
0.0004828508106245049,6.934496559183555e-06,0.7838491472488516,True,3,
0.0004897853071836885,7.049222217313603e-06,0.7836657001562426,True,3,
0.0004968345294010021,7.166684590837966e-06,0.7834755187156411,True,3,
0.0005040012139918401,7.286988523190634e-06,0.783278225337814,True,3,
0.0005112882025150307,7.410245019852998e-06,0.7830734154393029,True,3,
0.0005186984475348838,7.5365717385319695e-06,0.7828606549225191,True,3,
0.0005262350192734158,7.666093528568161e-06,0.782639477377144,True,3,
0.0005339011128019839,7.798943025536143e-06,0.7824093809335181,True,3,
0.0005417000558275201,7.93526130801283e-06,0.7821698247530615,True,3,
0.0005496353171355329,8.07519862436066e-06,0.7819202251065918,True,3,
0.0005577105157598936,8.21891519853346e-06,0.7816599509306655,True,3,
0.000565929430958427,8.366582125555851e-06,0.7813883188660433,True,3,
0.0005742960130839829,8.51838236858278e-06,0.7811045876314198,True,3,
0.0005828143954525656,8.674511871704554e-06,0.7808079516270711,True,3,
0.0005914889073242702,8.835180805019796e-06,0.7804975337442177,True,3,
0.0006003240881292901,9.00061496073302e-06,0.7801723770841961,True,3,
0.0006093247030900231,9.171057323184466e-06,0.7798314356034286,True,3,
0.0006184957604132076,9.346769838655973e-06,0.7794735633088015,True,3,
0.0006278425302518636,9.528035416556016e-06,0.7790975018958584,True,3,
0.0006373705656684196,9.715160198616443e-06,0.7787018664830961,True,3,
0.000647085725867036,9.908476140084541e-06,0.7782851291090356,True,3,
0.0006569942020071206,1.0108343955389019e-05,0.7778455995378969,True,3,
0.0006671025459625096,1.0315156491500516e-05,0.7773814029527529,True,3,
0.0006774177024540101,1.0529342604604677e-05,0.7768904537339797,True,3,
0.0006879470450586148,1.0751371632949655e-05,0.7763704247492863,True,3,
0.0006986984166915645,1.0981758577544518e-05,0.7758187109702771,True,3,
0.000709680175269109,1.122107012915271e-05,0.7752323863645261,True,3,
0.0007209012453982617,1.1469931711015494e-05,0.7746081524243864,True,3,
0.0007323711771092772,1.1729035748359187e-05,0.7739422764434315,True,3,
0.0007441002128576364,1.1999151427872542e-05,0.7732305170138558,True,3,
0.000756099364285509,1.2281136278599665e-05,0.7724680336241934,True,3,
0.0007683805005641086,1.2575949993751844e-05,0.7716492761077578,True,3,
0.0007809564505578605,1.2884671030379275e-05,0.7707678486324124,True,3,
0.0007938411215882398,1.3208516677919012e-05,0.7698163409909081,True,3,
0.0008070496382661588,1.3548867495194299e-05,0.7687861176375643,True,3,
0.0008205985057613531,1.3907297297624147e-05,0.7676670515967997,True,3,
0.0008345058030589773,1.4285610263670923e-05,0.7664471855316517,True,3,
0.0008487914133226482,1.4685887269317443e-05,0.7651122956350929,True,3,
0.0008634773005919657,1.5110544319106728e-05,0.763645324045984,True,3,
0.0008785878449110724,1.556240703135499e-05,0.7620256309554212,True,3,
0.0008941502519424274,1.6044806720157474e-05,0.7602279957638907,True,3,
0.0009101950586625849,1.6561705964868764e-05,0.7582212628754739,True,3,
0.0009267567646274537,1.7117865109647502e-05,0.7559664750025666,True,3,
0.0009438746297371013,1.771906662489355e-05,0.7846748479176152,True,3,
0.0009615936963619948,1.8002734829613114e-05,0.8057821270914266,True,3,
0.000979596431191608,1.8049791059763158e-05,0.8057448531723287,True,3,
0.000997646222251371,1.8097388867173115e-05,0.8057688404196947,True,3,
0.0010157436111185442,1.8144842104865343e-05,0.8057893429313039,True,3,
0.0010338884532234095,1.8192188324365083e-05,0.8058066456267854,True,3,
0.0010520806415477745,1.823946225994003e-05,0.8058208370790053,True,3,
0.0010703201038077144,1.8286698013572006e-05,0.8058319956250475,True,3,
0.0010886068018212864,1.833392915782933e-05,0.8058401894242034,True,3,
0.0011069407309791158,1.838118884049874e-05,0.805845476988865,True,3,
0.0011253219198196147,1.842850988551953e-05,0.8058479076199696,True,3,
0.0011437504297051341,1.8475924891178335e-05,0.8058475217742925,True,3,
0.0011622263545963125,1.8523466326241838e-05,0.80584435138429,True,3,
