method,N,h_s,max_grid_Linf_error_A,endpoint_Linf_error_A,steps,newton_updates,max_newton_updates
euler,240,0.000125,0.6898769843930808,0.16036159929595872,240,0,0
rk4,240,0.000125,1.8052531630008417e-05,2.2000354831241964e-06,240,0,0
implicit,240,0.000125,0.43614661117663944,0.027031829477268066,240,240,1
euler,480,6.25e-05,0.2939822625443709,0.04612291654460682,480,0,0
rk4,480,6.25e-05,1.1204213539173224e-06,1.311746791188284e-07,480,0,0
implicit,480,6.25e-05,0.2393771071241666,0.01913486872646264,480,480,1
euler,960,3.125e-05,0.13887814483430927,0.01803066272895326,960,0,0
rk4,960,3.125e-05,6.977539612762484e-08,7.994319872750566e-09,960,0,0
implicit,960,3.125e-05,0.12561531248202495,0.011629140389120218,960,960,1
euler,1920,1.5625e-05,0.06769361579535937,0.008027324550047232,1920,0,0
rk4,1920,1.5625e-05,4.353583271665684e-09,4.931828279097772e-10,1920,0,0
implicit,1920,1.5625e-05,0.06437936024117397,0.006447804762747811,1920,1920,1
euler,3840,7.8125e-06,0.033421615176202124,0.0037936512940410783,3840,0,0
rk4,3840,7.8125e-06,2.718967273551698e-10,3.062927689256867e-11,3840,0,0
implicit,3840,7.8125e-06,0.032593142335688,0.0034000639492182683,3840,3840,1
